dummy2, 'En fin insert here', Denmark, 768, M, 1029, 597, Yellow, 179, 2
HM, 'En fin insert here', Denmark, 401, M, 1695, 992, Yellow, 173, 1
HM, 'En fin insert here', Sweden, 1089, SX, 129, 913, Pink, 57, 1
QM, 'En fin insert here', New Zealand, 556, M, 1900, 653, Purple, 10, 3
QM, 'En fin insert here', New Zealand, 959, L, 1132, 796, Pink, 138, 2
dummy2, 'En fin insert here', New Zealand, 289, XL, 1963, 883, Purple, 44, 3
dummy1, 'En fin insert here', Denmark, 1080, S, 289, 716, Purple, 28, 2
HM, 'En fin insert here', Denmark, 625, XXL, 1170, 175, Purple, 179, 3
dummy1, 'En fin insert here', Finland, 1011, S, 124, 308, Purple, 91, 3
HM, 'En fin insert here', Sweden, 542, SX, 2047, 694, Purple, 45, 1
QM, 'En fin insert here', New Zealand, 347, XL, 1362, 990, Purple, 187, 3
dummy2, 'En fin insert here', New Zealand, 342, L, 1122, 769, Yellow, 163, 2
dummy2, 'En fin insert here', Finland, 1044, XXL, 432, 1017, Yellow, 9, 3
dummy2, 'En fin insert here', Sweden, 468, XL, 547, 513, Cyan, 99, 3
HM, 'En fin insert here', Sweden, 743, M, 617, 192, Pink, 73, 3
dummy1, 'En fin insert here', New Zealand, 1031, L, 1896, 625, Green, 109, 3
HM, 'En fin insert here', Germany, 543, S, 1637, 770, Purple, 165, 3
Cubus, 'En fin insert here', Denmark, 1179, XL, 881, 263, Green, 127, 3
dummy1, 'En fin insert here', Germany, 972, XXL, 609, 838, Green, 188, 3
HM, 'En fin insert here', Finland, 389, M, 231, 596, Blue, 41, 1
QM, 'En fin insert here', Denmark, 911, SX, 1792, 894, Blue, 36, 2
QM, 'En fin insert here', Sweden, 259, M, 270, 979, Pink, 90, 1
HM, 'En fin insert here', New Zealand, 939, XXL, 1057, 817, Green, 43, 3
QM, 'En fin insert here', Denmark, 280, XL, 1062, 321, Yellow, 81, 3
dummy1, 'En fin insert here', Sweden, 1060, XXL, 1525, 322, Pink, 115, 2
dummy1, 'En fin insert here', Germany, 937, XL, 213, 200, Purple, 114, 1
dummy1, 'En fin insert here', New Zealand, 585, L, 2014, 695, Yellow, 105, 3
dummy1, 'En fin insert here', Norway, 1147, M, 413, 707, Purple, 161, 3
HM, 'En fin insert here', Denmark, 1072, L, 716, 994, Yellow, 164, 3
dummy1, 'En fin insert here', Sweden, 881, S, 384, 418, Cyan, 171, 2
QM, 'En fin insert here', Norway, 311, M, 71, 588, Pink, 193, 1
Cubus, 'En fin insert here', Sweden, 526, M, 849, 1004, Yellow, 74, 1
dummy1, 'En fin insert here', Sweden, 1010, XXL, 1873, 116, Cyan, 90, 1
dummy2, 'En fin insert here', Germany, 866, XXL, 1049, 80, Blue, 163, 2
QM, 'En fin insert here', New Zealand, 1048, S, 2067, 181, Cyan, 90, 3
QM, 'En fin insert here', New Zealand, 326, M, 167, 250, Yellow, 107, 2
Cubus, 'En fin insert here', Germany, 547, S, 656, 772, Cyan, 93, 3
dummy2, 'En fin insert here', Finland, 791, XXL, 1964, 630, Green, 140, 3
HM, 'En fin insert here', Norway, 972, SX, 598, 270, Yellow, 18, 3
dummy1, 'En fin insert here', Denmark, 489, XL, 111, 441, Purple, 21, 1
dummy2, 'En fin insert here', Finland, 1090, XL, 864, 966, Purple, 40, 1
QM, 'En fin insert here', Denmark, 303, XXL, 658, 610, Pink, 177, 1
QM, 'En fin insert here', Germany, 711, L, 1345, 233, Pink, 188, 2
Cubus, 'En fin insert here', New Zealand, 488, SX, 1840, 427, Purple, 152, 1
HM, 'En fin insert here', Germany, 978, S, 467, 768, Green, 162, 3
Cubus, 'En fin insert here', New Zealand, 576, SX, 1558, 586, Cyan, 164, 1
dummy1, 'En fin insert here', New Zealand, 569, XL, 1749, 192, Pink, 35, 2
QM, 'En fin insert here', Sweden, 247, SX, 920, 699, Green, 69, 2
QM, 'En fin insert here', Germany, 1076, XL, 125, 557, Cyan, 23, 2
dummy1, 'En fin insert here', Germany, 1098, L, 1649, 195, Green, 32, 1
QM, 'En fin insert here', Finland, 847, S, 507, 173, Yellow, 164, 1
Cubus, 'En fin insert here', Norway, 433, XXL, 1861, 386, Pink, 180, 1
QM, 'En fin insert here', Germany, 213, S, 133, 1030, Yellow, 113, 3
HM, 'En fin insert here', Norway, 338, XXL, 1831, 285, Pink, 45, 3
QM, 'En fin insert here', Norway, 481, SX, 1762, 463, Blue, 123, 3
dummy1, 'En fin insert here', Denmark, 1088, S, 1438, 416, Blue, 198, 2
Cubus, 'En fin insert here', New Zealand, 689, S, 510, 807, Cyan, 158, 2
QM, 'En fin insert here', Sweden, 778, M, 547, 139, Purple, 116, 1
Cubus, 'En fin insert here', Finland, 884, XL, 1459, 1018, Cyan, 157, 2
HM, 'En fin insert here', Germany, 565, S, 1993, 1017, Purple, 31, 1
QM, 'En fin insert here', Denmark, 850, XXL, 643, 957, Purple, 41, 2
Cubus, 'En fin insert here', Denmark, 404, M, 350, 391, Purple, 60, 2
Cubus, 'En fin insert here', Germany, 287, M, 2062, 210, Blue, 168, 1
QM, 'En fin insert here', Finland, 1017, S, 462, 698, Yellow, 1, 1
QM, 'En fin insert here', Germany, 833, SX, 1080, 568, Green, 28, 2
HM, 'En fin insert here', Sweden, 1188, SX, 1517, 1035, Pink, 64, 2
dummy2, 'En fin insert here', Germany, 300, S, 255, 320, Blue, 113, 2
QM, 'En fin insert here', Denmark, 521, S, 1699, 83, Blue, 4, 2
dummy1, 'En fin insert here', Germany, 638, SX, 561, 329, Yellow, 13, 2
QM, 'En fin insert here', New Zealand, 1097, SX, 875, 596, Cyan, 21, 2
dummy1, 'En fin insert here', Germany, 273, SX, 139, 770, Blue, 132, 2
dummy1, 'En fin insert here', Norway, 1153, SX, 1938, 205, Yellow, 95, 1
dummy1, 'En fin insert here', Sweden, 833, XL, 1302, 338, Purple, 7, 3
HM, 'En fin insert here', New Zealand, 969, S, 1785, 911, Blue, 54, 1
QM, 'En fin insert here', Finland, 835, M, 647, 783, Purple, 93, 2
dummy1, 'En fin insert here', Norway, 901, L, 692, 672, Cyan, 133, 2
QM, 'En fin insert here', Norway, 281, L, 1144, 932, Cyan, 30, 3
dummy1, 'En fin insert here', Finland, 954, M, 1633, 789, Cyan, 182, 3
QM, 'En fin insert here', Germany, 1073, S, 1118, 684, Blue, 26, 2
QM, 'En fin insert here', Denmark, 726, S, 875, 838, Green, 144, 3
dummy2, 'En fin insert here', Germany, 595, XL, 982, 997, Yellow, 48, 2
dummy2, 'En fin insert here', Germany, 660, M, 1511, 1018, Green, 11, 1
dummy1, 'En fin insert here', Germany, 339, M, 728, 88, Cyan, 187, 1
QM, 'En fin insert here', Norway, 1156, XXL, 1715, 253, Pink, 105, 3
QM, 'En fin insert here', New Zealand, 1090, S, 641, 320, Yellow, 53, 3
dummy1, 'En fin insert here', New Zealand, 707, SX, 1026, 380, Pink, 55, 2
HM, 'En fin insert here', Denmark, 784, M, 734, 577, Purple, 195, 2
dummy2, 'En fin insert here', New Zealand, 861, XL, 1173, 181, Yellow, 95, 3
dummy1, 'En fin insert here', Denmark, 1174, L, 82, 593, Purple, 156, 2
dummy2, 'En fin insert here', Norway, 470, L, 1716, 1052, Purple, 106, 2
dummy1, 'En fin insert here', Norway, 353, M, 1348, 931, Green, 80, 1
HM, 'En fin insert here', Germany, 562, M, 1425, 1064, Green, 78, 2
HM, 'En fin insert here', New Zealand, 292, M, 684, 969, Green, 66, 1
QM, 'En fin insert here', Norway, 712, SX, 1234, 920, Yellow, 70, 1
HM, 'En fin insert here', Norway, 1092, SX, 204, 133, Green, 183, 1
dummy1, 'En fin insert here', Germany, 944, M, 2032, 893, Yellow, 10, 1
HM, 'En fin insert here', Norway, 920, XL, 1195, 1016, Blue, 56, 1
dummy1, 'En fin insert here', Sweden, 865, M, 1175, 225, Yellow, 186, 2
dummy2, 'En fin insert here', Germany, 431, M, 537, 230, Purple, 48, 1
QM, 'En fin insert here', Finland, 291, XXL, 539, 150, Purple, 57, 2
HM, 'En fin insert here', Denmark, 281, XL, 714, 1061, Green, 120, 3
dummy2, 'En fin insert here', New Zealand, 618, SX, 408, 558, Blue, 2, 3
dummy1, 'En fin insert here', New Zealand, 627, M, 2011, 1019, Cyan, 113, 3
Cubus, 'En fin insert here', New Zealand, 463, S, 480, 111, Cyan, 53, 3
HM, 'En fin insert here', Finland, 702, XL, 682, 449, Blue, 68, 2
HM, 'En fin insert here', New Zealand, 1186, L, 1437, 167, Purple, 12, 3
HM, 'En fin insert here', Denmark, 868, SX, 1717, 308, Pink, 173, 1
QM, 'En fin insert here', Sweden, 1011, S, 1362, 562, Cyan, 79, 3
Cubus, 'En fin insert here', Denmark, 295, SX, 1026, 381, Cyan, 88, 3
dummy1, 'En fin insert here', Sweden, 577, XL, 827, 271, Purple, 109, 3
dummy1, 'En fin insert here', Germany, 731, L, 2018, 1064, Purple, 61, 3
HM, 'En fin insert here', Finland, 211, XXL, 2009, 1033, Green, 15, 3
QM, 'En fin insert here', Denmark, 785, SX, 1613, 965, Blue, 71, 1
Cubus, 'En fin insert here', Norway, 886, M, 1858, 85, Pink, 65, 1
HM, 'En fin insert here', New Zealand, 902, L, 78, 797, Blue, 5, 3
QM, 'En fin insert here', New Zealand, 1034, SX, 1992, 719, Yellow, 96, 1
HM, 'En fin insert here', Sweden, 424, XL, 236, 984, Yellow, 136, 2
dummy2, 'En fin insert here', Denmark, 1184, M, 379, 970, Blue, 95, 1
Cubus, 'En fin insert here', New Zealand, 803, L, 595, 439, Pink, 6, 1
Cubus, 'En fin insert here', Germany, 248, S, 1984, 313, Blue, 71, 1
dummy1, 'En fin insert here', Norway, 977, M, 168, 672, Purple, 63, 1
HM, 'En fin insert here', Germany, 423, XXL, 1537, 639, Purple, 198, 3
dummy2, 'En fin insert here', Denmark, 995, SX, 1429, 1013, Purple, 119, 2
dummy2, 'En fin insert here', Finland, 625, XL, 1356, 803, Green, 200, 1
dummy1, 'En fin insert here', Germany, 727, S, 391, 947, Yellow, 18, 3
QM, 'En fin insert here', Denmark, 596, SX, 1142, 96, Yellow, 18, 2
QM, 'En fin insert here', Norway, 902, M, 152, 390, Purple, 69, 2
dummy1, 'En fin insert here', Finland, 254, SX, 1158, 607, Purple, 149, 3
QM, 'En fin insert here', Norway, 931, XL, 1064, 370, Yellow, 153, 2
dummy2, 'En fin insert here', Denmark, 937, SX, 1013, 527, Yellow, 6, 2
HM, 'En fin insert here', Finland, 317, L, 1946, 334, Blue, 167, 2
QM, 'En fin insert here', Finland, 237, SX, 677, 160, Green, 85, 1
dummy2, 'En fin insert here', New Zealand, 1150, S, 1498, 861, Green, 115, 3
dummy1, 'En fin insert here', Denmark, 1067, XL, 755, 197, Blue, 152, 1
Cubus, 'En fin insert here', Sweden, 1059, L, 1585, 80, Yellow, 80, 1
QM, 'En fin insert here', Norway, 874, S, 979, 668, Cyan, 34, 2
dummy2, 'En fin insert here', Norway, 275, S, 336, 820, Cyan, 21, 3
HM, 'En fin insert here', Finland, 255, XL, 1939, 777, Blue, 71, 1
Cubus, 'En fin insert here', Sweden, 343, S, 865, 939, Blue, 164, 2
dummy1, 'En fin insert here', Sweden, 694, S, 161, 436, Green, 195, 1
Cubus, 'En fin insert here', Finland, 511, XXL, 1027, 693, Cyan, 159, 3
dummy1, 'En fin insert here', New Zealand, 611, XL, 1485, 260, Green, 121, 1
Cubus, 'En fin insert here', Finland, 638, XL, 200, 357, Cyan, 182, 3
QM, 'En fin insert here', Finland, 427, S, 208, 1006, Pink, 64, 3
HM, 'En fin insert here', Denmark, 463, SX, 1970, 132, Green, 183, 2
Cubus, 'En fin insert here', Norway, 734, XL, 989, 839, Cyan, 69, 2
Cubus, 'En fin insert here', Sweden, 476, M, 454, 211, Cyan, 150, 2
QM, 'En fin insert here', Finland, 808, S, 1443, 719, Cyan, 113, 2
dummy2, 'En fin insert here', Denmark, 412, SX, 1631, 967, Purple, 41, 1
dummy1, 'En fin insert here', New Zealand, 702, L, 1807, 474, Purple, 194, 2
HM, 'En fin insert here', Denmark, 717, L, 1430, 192, Green, 6, 1
HM, 'En fin insert here', Finland, 921, S, 690, 829, Cyan, 60, 2
dummy1, 'En fin insert here', Finland, 693, M, 1609, 285, Cyan, 4, 3
HM, 'En fin insert here', Denmark, 947, SX, 1071, 627, Purple, 86, 1
QM, 'En fin insert here', Denmark, 223, M, 887, 410, Pink, 166, 2
QM, 'En fin insert here', Sweden, 530, XXL, 1328, 151, Pink, 131, 1
Cubus, 'En fin insert here', Germany, 591, SX, 1570, 759, Green, 165, 3
dummy2, 'En fin insert here', Germany, 414, L, 78, 767, Cyan, 193, 1
QM, 'En fin insert here', Denmark, 467, M, 1423, 710, Blue, 99, 3
HM, 'En fin insert here', Finland, 457, XL, 1152, 916, Green, 163, 3
Cubus, 'En fin insert here', Denmark, 890, XL, 1645, 123, Purple, 5, 2
dummy2, 'En fin insert here', Norway, 1109, SX, 869, 233, Green, 169, 3
dummy2, 'En fin insert here', New Zealand, 237, XXL, 1717, 279, Cyan, 78, 2
dummy2, 'En fin insert here', Norway, 756, L, 1762, 130, Green, 58, 3
HM, 'En fin insert here', Denmark, 601, M, 825, 963, Cyan, 33, 3
Cubus, 'En fin insert here', Sweden, 741, M, 1074, 665, Cyan, 196, 3
Cubus, 'En fin insert here', Denmark, 345, L, 801, 1020, Pink, 92, 1
QM, 'En fin insert here', Norway, 327, M, 967, 246, Green, 167, 2
dummy2, 'En fin insert here', Finland, 866, M, 133, 343, Cyan, 26, 2
Cubus, 'En fin insert here', Norway, 248, SX, 464, 911, Purple, 36, 2
HM, 'En fin insert here', Finland, 684, S, 245, 1007, Cyan, 62, 1
Cubus, 'En fin insert here', Sweden, 787, XL, 2061, 455, Yellow, 145, 2
HM, 'En fin insert here', Finland, 541, XL, 131, 895, Green, 127, 1
dummy2, 'En fin insert here', New Zealand, 430, M, 1206, 171, Cyan, 171, 2
HM, 'En fin insert here', New Zealand, 443, M, 680, 667, Yellow, 56, 2
dummy2, 'En fin insert here', Sweden, 814, M, 491, 535, Pink, 35, 2
QM, 'En fin insert here', New Zealand, 220, XL, 194, 320, Pink, 107, 3
dummy2, 'En fin insert here', Germany, 292, XXL, 321, 917, Pink, 184, 1
Cubus, 'En fin insert here', Finland, 513, SX, 1831, 288, Pink, 94, 1
dummy1, 'En fin insert here', Sweden, 799, XXL, 109, 372, Green, 154, 2
HM, 'En fin insert here', New Zealand, 756, SX, 1270, 1049, Pink, 142, 2
QM, 'En fin insert here', Norway, 937, SX, 1562, 610, Yellow, 24, 1
Cubus, 'En fin insert here', Finland, 1006, S, 1207, 622, Yellow, 185, 2
HM, 'En fin insert here', Sweden, 802, L, 486, 874, Blue, 25, 2
dummy2, 'En fin insert here', Finland, 360, S, 1358, 846, Green, 35, 2
dummy2, 'En fin insert here', Sweden, 984, XXL, 657, 312, Green, 134, 2
HM, 'En fin insert here', Norway, 822, M, 884, 375, Green, 133, 1
dummy1, 'En fin insert here', New Zealand, 503, M, 1176, 833, Green, 167, 3
HM, 'En fin insert here', Finland, 478, XL, 229, 599, Green, 157, 1
dummy1, 'En fin insert here', New Zealand, 926, SX, 1790, 538, Blue, 136, 1
dummy1, 'En fin insert here', Norway, 378, SX, 1378, 751, Pink, 148, 3
HM, 'En fin insert here', Sweden, 1010, S, 315, 465, Pink, 116, 1
dummy2, 'En fin insert here', New Zealand, 458, XL, 2026, 909, Purple, 49, 2
HM, 'En fin insert here', New Zealand, 423, S, 186, 755, Blue, 16, 2
QM, 'En fin insert here', New Zealand, 1185, SX, 455, 907, Pink, 4, 2
HM, 'En fin insert here', Norway, 257, XXL, 1796, 929, Purple, 2, 3
HM, 'En fin insert here', Sweden, 885, M, 1561, 1034, Purple, 38, 3
HM, 'En fin insert here', Germany, 541, XL, 1090, 243, Purple, 62, 1
HM, 'En fin insert here', Germany, 606, SX, 747, 849, Pink, 37, 3
Cubus, 'En fin insert here', Sweden, 452, XL, 823, 915, Purple, 95, 1
dummy1, 'En fin insert here', Denmark, 1152, L, 421, 811, Green, 161, 2
dummy2, 'En fin insert here', Denmark, 708, SX, 1066, 398, Purple, 77, 2
dummy2, 'En fin insert here', New Zealand, 202, XL, 1685, 725, Pink, 6, 2
dummy2, 'En fin insert here', Sweden, 805, SX, 326, 831, Cyan, 54, 2
Cubus, 'En fin insert here', Sweden, 963, S, 109, 1056, Cyan, 147, 1
QM, 'En fin insert here', Denmark, 381, XL, 807, 481, Cyan, 179, 3
QM, 'En fin insert here', Sweden, 242, SX, 1753, 686, Purple, 20, 1
QM, 'En fin insert here', Norway, 1090, L, 98, 788, Green, 17, 1
QM, 'En fin insert here', Sweden, 1118, XL, 1810, 1032, Pink, 117, 3
HM, 'En fin insert here', Germany, 676, XL, 1130, 376, Yellow, 26, 1
Cubus, 'En fin insert here', Denmark, 377, XL, 1755, 465, Yellow, 4, 2
HM, 'En fin insert here', New Zealand, 575, S, 1061, 139, Yellow, 32, 2
dummy1, 'En fin insert here', Finland, 354, SX, 1578, 411, Pink, 52, 2
dummy1, 'En fin insert here', Sweden, 661, L, 1584, 386, Green, 28, 2
HM, 'En fin insert here', Norway, 816, XL, 645, 495, Yellow, 136, 2
HM, 'En fin insert here', Sweden, 217, XL, 1538, 183, Yellow, 143, 2
HM, 'En fin insert here', Germany, 356, S, 1383, 347, Green, 147, 3
dummy1, 'En fin insert here', Norway, 692, M, 1961, 194, Blue, 148, 2
dummy2, 'En fin insert here', Norway, 834, S, 1830, 819, Cyan, 162, 1
dummy1, 'En fin insert here', New Zealand, 749, XL, 1558, 266, Purple, 4, 2
QM, 'En fin insert here', Finland, 1093, S, 260, 1018, Blue, 77, 3
Cubus, 'En fin insert here', New Zealand, 1007, XXL, 951, 689, Yellow, 193, 2
QM, 'En fin insert here', Germany, 832, M, 1656, 305, Green, 49, 3
HM, 'En fin insert here', Sweden, 577, L, 831, 813, Cyan, 180, 2
Cubus, 'En fin insert here', Denmark, 735, SX, 1189, 81, Green, 64, 2
HM, 'En fin insert here', Denmark, 595, L, 359, 780, Purple, 139, 1
HM, 'En fin insert here', New Zealand, 333, S, 1337, 241, Yellow, 160, 2
Cubus, 'En fin insert here', Germany, 424, L, 1466, 509, Green, 100, 2
dummy1, 'En fin insert here', Sweden, 533, SX, 1497, 965, Yellow, 173, 3
Cubus, 'En fin insert here', Germany, 460, L, 928, 866, Green, 56, 1
Cubus, 'En fin insert here', Norway, 826, S, 684, 581, Cyan, 113, 2
Cubus, 'En fin insert here', Denmark, 357, S, 1713, 900, Blue, 132, 3
HM, 'En fin insert here', Finland, 525, M, 270, 122, Green, 121, 1
QM, 'En fin insert here', Denmark, 406, S, 1806, 518, Yellow, 12, 3
dummy1, 'En fin insert here', Norway, 231, S, 2013, 633, Purple, 150, 1
Cubus, 'En fin insert here', Denmark, 640, M, 1310, 1048, Green, 156, 3
Cubus, 'En fin insert here', Finland, 1115, SX, 770, 756, Pink, 25, 1
dummy2, 'En fin insert here', New Zealand, 657, L, 1537, 345, Cyan, 29, 2
dummy1, 'En fin insert here', Germany, 363, SX, 1984, 780, Yellow, 99, 1
dummy2, 'En fin insert here', Finland, 763, M, 575, 93, Yellow, 47, 3
HM, 'En fin insert here', Sweden, 1140, L, 1711, 258, Blue, 102, 3
dummy1, 'En fin insert here', Denmark, 751, XXL, 360, 390, Green, 99, 2
dummy1, 'En fin insert here', Sweden, 285, XL, 1191, 406, Green, 32, 3
dummy1, 'En fin insert here', New Zealand, 444, XXL, 1693, 747, Purple, 94, 3
dummy2, 'En fin insert here', Sweden, 838, S, 376, 1065, Purple, 162, 3
HM, 'En fin insert here', Sweden, 493, M, 937, 656, Purple, 167, 3
dummy2, 'En fin insert here', Denmark, 1112, M, 1422, 848, Blue, 86, 2
HM, 'En fin insert here', Sweden, 1149, SX, 495, 91, Yellow, 55, 3
Cubus, 'En fin insert here', Denmark, 428, XL, 1114, 213, Cyan, 117, 3
Cubus, 'En fin insert here', New Zealand, 1120, S, 1491, 852, Blue, 198, 2
HM, 'En fin insert here', Norway, 1155, M, 1385, 84, Pink, 109, 3
QM, 'En fin insert here', New Zealand, 452, SX, 318, 1023, Blue, 26, 2
QM, 'En fin insert here', Sweden, 271, L, 139, 531, Pink, 171, 1
QM, 'En fin insert here', Sweden, 504, SX, 1397, 531, Yellow, 145, 3
HM, 'En fin insert here', Norway, 249, S, 1703, 382, Blue, 109, 3
dummy2, 'En fin insert here', Germany, 1064, S, 978, 967, Purple, 85, 3
HM, 'En fin insert here', New Zealand, 1083, L, 226, 398, Purple, 29, 2
QM, 'En fin insert here', New Zealand, 737, SX, 188, 449, Yellow, 162, 3
QM, 'En fin insert here', Sweden, 426, SX, 1951, 602, Purple, 179, 3
dummy2, 'En fin insert here', Norway, 882, L, 1126, 644, Green, 16, 2
Cubus, 'En fin insert here', Finland, 380, S, 1720, 995, Blue, 95, 1
Cubus, 'En fin insert here', New Zealand, 337, SX, 479, 482, Green, 169, 3
Cubus, 'En fin insert here', Sweden, 396, SX, 1474, 680, Purple, 98, 2
QM, 'En fin insert here', New Zealand, 376, L, 954, 894, Yellow, 172, 1
dummy1, 'En fin insert here', Finland, 626, L, 743, 921, Blue, 41, 2
QM, 'En fin insert here', Sweden, 948, S, 487, 256, Cyan, 156, 3
HM, 'En fin insert here', New Zealand, 346, XL, 1021, 787, Cyan, 181, 2
dummy2, 'En fin insert here', Germany, 1133, XL, 1704, 1027, Purple, 19, 3
dummy1, 'En fin insert here', Finland, 1129, M, 494, 869, Pink, 35, 1
Cubus, 'En fin insert here', Finland, 1114, SX, 1435, 1005, Cyan, 5, 3
dummy1, 'En fin insert here', Sweden, 746, SX, 1776, 992, Green, 168, 2
dummy1, 'En fin insert here', Denmark, 503, L, 1449, 663, Yellow, 5, 1
HM, 'En fin insert here', Germany, 794, SX, 1746, 181, Blue, 68, 1
QM, 'En fin insert here', Denmark, 561, S, 1006, 284, Blue, 185, 3
QM, 'En fin insert here', Norway, 947, XXL, 401, 768, Green, 69, 2
dummy2, 'En fin insert here', Denmark, 915, XL, 1219, 134, Cyan, 27, 2
HM, 'En fin insert here', Germany, 1175, M, 457, 186, Yellow, 130, 3
HM, 'En fin insert here', Germany, 994, XXL, 1141, 815, Yellow, 63, 2
HM, 'En fin insert here', Sweden, 1039, M, 975, 368, Pink, 177, 2
dummy1, 'En fin insert here', Norway, 487, M, 1726, 351, Purple, 5, 2
dummy1, 'En fin insert here', Sweden, 338, XL, 1872, 966, Blue, 52, 1
Cubus, 'En fin insert here', Norway, 511, XXL, 1048, 973, Yellow, 130, 1
dummy1, 'En fin insert here', Finland, 786, XL, 1449, 766, Green, 99, 1
HM, 'En fin insert here', Finland, 1067, L, 482, 322, Purple, 115, 1
Cubus, 'En fin insert here', Finland, 1013, XXL, 364, 617, Cyan, 60, 3
Cubus, 'En fin insert here', Germany, 1107, S, 1107, 70, Cyan, 85, 3
Cubus, 'En fin insert here', Denmark, 1112, M, 1722, 693, Blue, 165, 1
HM, 'En fin insert here', Finland, 852, XXL, 1362, 811, Cyan, 52, 3
QM, 'En fin insert here', Germany, 1149, XXL, 1526, 564, Green, 50, 3
dummy2, 'En fin insert here', New Zealand, 718, S, 195, 157, Purple, 177, 3
HM, 'En fin insert here', Finland, 528, SX, 824, 289, Purple, 189, 3
dummy2, 'En fin insert here', New Zealand, 590, L, 947, 810, Yellow, 69, 3
QM, 'En fin insert here', New Zealand, 259, SX, 504, 273, Blue, 160, 2
dummy1, 'En fin insert here', Denmark, 454, XL, 2056, 804, Purple, 52, 2
QM, 'En fin insert here', Germany, 699, S, 398, 715, Blue, 199, 3
HM, 'En fin insert here', Denmark, 480, XXL, 962, 680, Yellow, 177, 1
dummy2, 'En fin insert here', Sweden, 245, M, 403, 317, Yellow, 134, 3
dummy1, 'En fin insert here', Germany, 403, SX, 116, 393, Blue, 168, 2
Cubus, 'En fin insert here', Finland, 541, SX, 1731, 968, Pink, 170, 1
Cubus, 'En fin insert here', Denmark, 821, XL, 537, 476, Yellow, 83, 1
HM, 'En fin insert here', Denmark, 651, XL, 158, 1067, Yellow, 133, 2
Cubus, 'En fin insert here', Denmark, 265, XXL, 764, 571, Pink, 97, 2
QM, 'En fin insert here', Denmark, 740, XL, 1869, 81, Purple, 166, 1
dummy1, 'En fin insert here', Sweden, 1060, XXL, 1322, 848, Purple, 166, 2
Cubus, 'En fin insert here', Sweden, 336, XXL, 1533, 142, Purple, 108, 1
dummy2, 'En fin insert here', Finland, 426, L, 816, 76, Pink, 30, 2
HM, 'En fin insert here', Norway, 757, L, 1023, 179, Purple, 193, 3
HM, 'En fin insert here', Norway, 940, S, 1573, 493, Green, 135, 2
Cubus, 'En fin insert here', New Zealand, 401, XL, 1010, 179, Cyan, 47, 2
dummy1, 'En fin insert here', Germany, 718, M, 838, 806, Cyan, 31, 1
HM, 'En fin insert here', Germany, 494, XXL, 1684, 641, Yellow, 196, 3
dummy2, 'En fin insert here', New Zealand, 589, XXL, 254, 719, Blue, 24, 1
dummy2, 'En fin insert here', New Zealand, 1023, L, 1937, 268, Green, 5, 1
HM, 'En fin insert here', Germany, 1089, XXL, 1713, 1051, Purple, 144, 2
HM, 'En fin insert here', New Zealand, 821, XXL, 1417, 1046, Cyan, 35, 1
QM, 'En fin insert here', New Zealand, 547, XL, 955, 555, Yellow, 147, 3
HM, 'En fin insert here', Germany, 944, M, 471, 425, Blue, 40, 1
dummy1, 'En fin insert here', Denmark, 1184, XXL, 660, 200, Yellow, 109, 3
HM, 'En fin insert here', Norway, 1083, XXL, 313, 139, Green, 114, 1
dummy2, 'En fin insert here', Denmark, 620, SX, 1194, 271, Cyan, 139, 2
Cubus, 'En fin insert here', New Zealand, 834, XXL, 624, 96, Green, 134, 1
dummy1, 'En fin insert here', Sweden, 1161, L, 2051, 491, Purple, 136, 1
dummy2, 'En fin insert here', New Zealand, 950, M, 1678, 1051, Pink, 181, 1
Cubus, 'En fin insert here', Denmark, 528, XXL, 497, 1069, Blue, 136, 2
dummy2, 'En fin insert here', Norway, 925, L, 695, 95, Cyan, 103, 3
HM, 'En fin insert here', Sweden, 950, M, 286, 238, Pink, 190, 1
dummy1, 'En fin insert here', Denmark, 297, XXL, 1771, 72, Purple, 143, 2
HM, 'En fin insert here', Germany, 892, SX, 1604, 115, Cyan, 151, 3
dummy2, 'En fin insert here', Denmark, 943, XXL, 304, 478, Green, 179, 3
dummy2, 'En fin insert here', Finland, 643, M, 664, 843, Cyan, 97, 1
QM, 'En fin insert here', Denmark, 857, S, 1463, 1003, Cyan, 163, 2
dummy1, 'En fin insert here', Norway, 714, XL, 1316, 97, Green, 85, 1
HM, 'En fin insert here', Germany, 737, L, 648, 1040, Yellow, 112, 3
Cubus, 'En fin insert here', Denmark, 310, SX, 644, 183, Yellow, 20, 3
QM, 'En fin insert here', Germany, 550, S, 694, 975, Purple, 97, 1
dummy1, 'En fin insert here', Sweden, 497, SX, 363, 754, Blue, 170, 2
dummy2, 'En fin insert here', Norway, 1030, S, 251, 250, Pink, 170, 2
dummy1, 'En fin insert here', Finland, 1101, M, 1805, 367, Yellow, 174, 3
dummy1, 'En fin insert here', Finland, 635, XL, 809, 391, Green, 199, 3
dummy2, 'En fin insert here', New Zealand, 1099, XL, 1265, 343, Pink, 99, 1
dummy1, 'En fin insert here', New Zealand, 914, XXL, 440, 1009, Blue, 22, 1
Cubus, 'En fin insert here', Sweden, 236, XXL, 1638, 662, Blue, 34, 2
dummy1, 'En fin insert here', Sweden, 1156, M, 614, 638, Green, 161, 2
dummy2, 'En fin insert here', Norway, 1191, SX, 1816, 125, Green, 129, 3
dummy1, 'En fin insert here', Norway, 320, L, 1434, 156, Green, 62, 1
